name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at,introduction
Toscano Bar & Kitchen,"2 Edward St, Brisbane City QLD 4000, Australia",toscanobar.com.au,+61 7 3705 4326,1129,4.7,Italian restaurant, · Opens 12pm,None Found
Exhibition Restaurant,"Basement 2/109 Edward St, Brisbane City QLD 4000, Australia",exhibitionrestaurant.com,,387,4.9,Modern Australian restaurant, · Opens 5:30pm,None Found
Longwang Restaurant,"144 Edward St, Brisbane City QLD 4000, Australia",longwang.com.au,+61 7 3211 8880,2040,4.8,Restaurant, · Opens 11am,None Found
Rogue Bistro,"14 Austin St, Newstead QLD 4006, Australia",roguebistro.com,+61 476 764 833,1160,4.8,Restaurant, · Opens 5:30pm Wed,"Spacious venue with contemporary, minimalist decor, and a small, refined Modern European menu."
Dark Shepherd,"The Star Brisbane, The Terrace, Level 4/33 William St, Brisbane City QLD 4000, Australia",darkshepherd.com.au,+61 7 2111 6869,1190,4.7,Restaurant, · Opens 11am,None Found
Naldham House,"33 Felix St, Brisbane City QLD 4000, Australia",naldhamhouse.com.au,+61 7 3187 7815,410,4.7,Restaurant,Closed · Opens 11:30am,None Found
Pompette,"The Star Brisbane, The Terrace, Level 4/33 William St, Brisbane City QLD 4000, Australia",pompette.com.au,+61 7 2111 6888,1626,4.8,French restaurant, · Opens 11am,None Found
Corbett & Claude,"283 Elizabeth St, Brisbane City QLD 4000, Australia",corbettandclaude.com.au,+61 7 3130 6436,3887,4.5,Pizza restaurant,Closed · Opens 11:30am,None Found
Libertine Restaurant & Cocktail Bar,"5/61 Petrie Terrace, Brisbane City QLD 4000, Australia",libertine.net.au,+61 7 3367 3353,831,4.6,Restaurant, · Opens 5pm Wed,"Dramatic dining with chandeliers, imaginative French-Vietnamese dishes, banquets and cocktails."
Malt Dining & Bar,"28 Market St, Brisbane City QLD 4000, Australia",maltdining.com.au,+61 7 3236 4855,773,4.5,Restaurant, · Opens 11:30am,"Rustic-chic fine dining venue on 3 levels of a converted market building, offering an eclectic menu."
Donna Chang,"Suite 3/171 George St, Brisbane City QLD 4000, Australia",donnachang.com.au,+61 7 3243 4888,1778,4.4,Restaurant, · Opens 12pm,"Posh choice plating elevated Cantonese & Sichuan fare, plus cocktails & a robust wine list."
Southside Restaurant,"63 Melbourne St, South Brisbane QLD 4101, Australia",southside-restaurant.com.au,+61 7 3067 7269,1230,4.5,Restaurant,Closed · Opens 5pm,None Found
Sono Japanese Restaurant | Portside Wharf,"39 Hercules St, Hamilton QLD 4007, Australia",sonorestaurant.com.au,+61 7 3268 6655,2353,4.7,Japanese restaurant, · Opens 5:30pm,"Modern Japanese food, a teppanyaki bar and a sake tasting menu in a refined riverfront space."
Mr Wabi,"16 Burnett Ln, Brisbane City QLD 4000, Australia",mrwabi.com.au,+61 460 439 863,763,4.7,Restaurant,Closed · Opens 12pm,None Found
Black Hide Caxton Street,"36 Caxton St, Brisbane City QLD 4000, Australia",blackhidecaxton.com.au,+61 7 3369 9500,958,4.5,Steak house, · Opens 5:30pm Thu,Premium beef cuts & share plates served in a stylish restaurant with a warm atmosphere.
Marlowe Restaurant,"105 Melbourne St, South Brisbane QLD 4101, Australia",marlowebne.com.au,+61 7 3505 6412,235,4.7,Restaurant,Closed · Opens 5pm,None Found
Italia Lane,"900 Ann St, Fortitude Valley QLD 4005, Australia",italialane.com.au,+61 7 3252 2115,990,4.8,Restaurant, · Opens 11:30am,None Found
